Shelf ID,Person ID,Timestamp,Age,Gender,Height,Weight,Married status,Moving speed (m/s),Item ID,Looking at item (s),Holding the item (s),Holding the bag,Picking up item,Returning item,Putting item into bag,Taking item out of bag,Putting item into bag in the 2nd time
4,1,1720260000,52,Female,162,41,Married,0.19,16,27,36,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
4,1,1720260120,52,Female,162,41,Married,0.49,5,22,17,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
4,1,1720260300,52,Female,162,41,Married,0.36,4,25,39,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
4,1,1720260360,52,Female,162,41,Married,0.64,8,21,35,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
4,1,1720260480,52,Female,162,41,Married,0.13,6,27,16,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
4,1,1720260720,52,Female,162,41,Married,1.26,5,30,16,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
7,2,1720260720,55,Female,150,54,Single,1.26,11,39,35,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
7,2,1720260960,55,Female,150,54,Single,0.77,1,20,31,TRUE,TRUE,TRUE,TRUE,,TRUE
7,2,1720261020,55,Female,150,54,Single,0.39,15,33,18,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
7,2,1720261140,55,Female,150,54,Single,0.12,11,18,15,TRUE,TRUE,TRUE,TRUE,,
2,2,1720261320,55,Female,150,54,Single,0.68,2,20,32,TRUE,TRUE,TRUE,TRUE,,FALSE
2,2,1720261620,55,Female,150,54,Single,0.24,6,36,18,TRUE,TRUE,TRUE,TRUE,FALSE,
2,2,1720261740,55,Female,150,54,Single,0.81,8,37,26,TRUE,TRUE,FALSE,FALSE,,
2,2,1720261980,55,Female,150,54,Single,0.77,1,23,34,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
0,2,1720262220,55,Female,150,54,Single,1.35,9,23,22,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
0,2,1720262280,55,Female,150,54,Single,0.46,10,29,28,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
0,2,1720262460,55,Female,150,54,Single,1.06,12,17,34,TRUE,TRUE,TRUE,,TRUE,TRUE
0,2,1720262700,55,Female,150,54,Single,0.86,6,34,39,TRUE,TRUE,TRUE,,,
0,2,1720262760,55,Female,150,54,Single,0.78,5,38,22,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
1,3,1720261560,43,Male,173,68,Married,0.45,9,35,31,TRUE,TRUE,TRUE,,TRUE,TRUE
1,3,1720261800,43,Male,173,68,Married,0.46,17,22,36,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
2,3,1720261860,43,Male,173,68,Married,0.49,7,21,37,TRUE,TRUE,FALSE,TRUE,FALSE,
2,3,1720262160,43,Male,173,68,Married,0.98,5,22,27,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
2,3,1720262220,43,Male,173,68,Married,1.41,7,27,32,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
2,3,1720262280,43,Male,173,68,Married,0.58,8,30,34,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
2,3,1720262400,43,Male,173,68,Married,1.45,3,36,37,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
