shelf_id,person_id,timestamp,age,gender,height,weight,married_status,moving_speed_(m/s),item_id,looking_at_item_(s),holding_the_item_(s),holding_the_bag,picking_up_item,returning_item,putting_item_into_bag,taking_item_out_of_bag,putting_item_into_bag_in_the_2nd_time,si_id,date,time
4,1,2024-07-06 10:00:00,52,Female,162,41,Married,0.19,16,27,36,True,True,False,False,False,True,416,2024-07-06,10:00:00
4,1,2024-07-06 10:02:00,52,Female,162,41,Married,0.49,5,22,17,True,True,False,True,True,True,45,2024-07-06,10:02:00
4,1,2024-07-06 10:05:00,52,Female,162,41,Married,0.36,4,25,39,True,True,True,True,True,False,44,2024-07-06,10:05:00
4,1,2024-07-06 10:06:00,52,Female,162,41,Married,0.64,8,21,35,True,True,True,False,False,False,48,2024-07-06,10:06:00
4,1,2024-07-06 10:08:00,52,Female,162,41,Married,0.13,6,27,16,True,True,False,False,False,True,46,2024-07-06,10:08:00
4,1,2024-07-06 10:12:00,52,Female,162,41,Married,1.26,5,30,16,True,True,False,True,False,True,45,2024-07-06,10:12:00
7,2,2024-07-06 10:12:00,55,Female,150,54,Single,1.26,11,39,35,True,True,False,False,False,False,711,2024-07-06,10:12:00
7,2,2024-07-06 10:16:00,55,Female,150,54,Single,0.77,1,20,31,True,True,True,True,,True,71,2024-07-06,10:16:00
7,2,2024-07-06 10:17:00,55,Female,150,54,Single,0.39,15,33,18,True,True,False,False,False,False,715,2024-07-06,10:17:00
7,2,2024-07-06 10:19:00,55,Female,150,54,Single,0.12,11,18,15,True,True,True,True,,,711,2024-07-06,10:19:00
2,2,2024-07-06 10:22:00,55,Female,150,54,Single,0.68,2,20,32,True,True,True,True,,False,22,2024-07-06,10:22:00
2,2,2024-07-06 10:27:00,55,Female,150,54,Single,0.24,6,36,18,True,True,True,True,False,,26,2024-07-06,10:27:00
2,2,2024-07-06 10:29:00,55,Female,150,54,Single,0.81,8,37,26,True,True,False,False,,,28,2024-07-06,10:29:00
2,2,2024-07-06 10:33:00,55,Female,150,54,Single,0.77,1,23,34,True,True,False,True,False,True,21,2024-07-06,10:33:00
0,2,2024-07-06 10:37:00,55,Female,150,54,Single,1.35,9,23,22,True,True,True,False,False,False,09,2024-07-06,10:37:00
0,2,2024-07-06 10:38:00,55,Female,150,54,Single,0.46,10,29,28,True,True,True,False,True,False,010,2024-07-06,10:38:00
0,2,2024-07-06 10:41:00,55,Female,150,54,Single,1.06,12,17,34,True,True,True,,True,True,012,2024-07-06,10:41:00
0,2,2024-07-06 10:45:00,55,Female,150,54,Single,0.86,6,34,39,True,True,True,,,,06,2024-07-06,10:45:00
0,2,2024-07-06 10:46:00,55,Female,150,54,Single,0.78,5,38,22,True,True,False,False,True,True,05,2024-07-06,10:46:00
1,3,2024-07-06 10:26:00,43,Male,173,68,Married,0.45,9,35,31,True,True,True,,True,True,19,2024-07-06,10:26:00
1,3,2024-07-06 10:30:00,43,Male,173,68,Married,0.46,17,22,36,True,True,False,True,True,False,117,2024-07-06,10:30:00
2,3,2024-07-06 10:31:00,43,Male,173,68,Married,0.49,7,21,37,True,True,False,True,False,,27,2024-07-06,10:31:00
