person_id,si_id,timestamp,age,height,weight,married_status,moving_speed_(m/s),age_group
1,416,2024-07-06 10:00:00,52,162,41,Married,0.19,2
1,45,2024-07-06 10:02:00,52,162,41,Married,0.49,2
1,44,2024-07-06 10:05:00,52,162,41,Married,0.36,2
1,48,2024-07-06 10:06:00,52,162,41,Married,0.64,2
1,46,2024-07-06 10:08:00,52,162,41,Married,0.13,2
1,45,2024-07-06 10:12:00,52,162,41,Married,1.26,2
2,711,2024-07-06 10:12:00,55,150,54,Single,1.26,2
2,71,2024-07-06 10:16:00,55,150,54,Single,0.77,2
2,715,2024-07-06 10:17:00,55,150,54,Single,0.39,2
2,711,2024-07-06 10:19:00,55,150,54,Single,0.12,2
2,22,2024-07-06 10:22:00,55,150,54,Single,0.68,2
2,26,2024-07-06 10:27:00,55,150,54,Single,0.24,2
2,28,2024-07-06 10:29:00,55,150,54,Single,0.81,2
2,21,2024-07-06 10:33:00,55,150,54,Single,0.77,2
2,09,2024-07-06 10:37:00,55,150,54,Single,1.35,2
2,010,2024-07-06 10:38:00,55,150,54,Single,0.46,2
2,012,2024-07-06 10:41:00,55,150,54,Single,1.06,2
2,06,2024-07-06 10:45:00,55,150,54,Single,0.86,2
2,05,2024-07-06 10:46:00,55,150,54,Single,0.78,2
3,19,2024-07-06 10:26:00,43,173,68,Married,0.45,2
3,117,2024-07-06 10:30:00,43,173,68,Married,0.46,2
3,27,2024-07-06 10:31:00,43,173,68,Married,0.49,2
3,25,2024-07-06 10:36:00,43,173,68,Married,0.98,2
3,27,2024-07-06 10:37:00,43,173,68,Married,1.41,2
3,28,2024-07-06 10:38:00,43,173,68,Married,0.58,2
3,23,2024-07-06 10:40:00,43,173,68,Married,1.45,2
3,26,2024-07-06 10:42:00,43,173,68,Married,1.03,2
4,05,2024-07-06 10:35:00,70,175,77,Married,1.37,3
4,00,2024-07-06 10:39:00,70,175,77,Married,1.37,3
4,08,2024-07-06 10:40:00,70,175,77,Married,1.22,3
4,01,2024-07-06 10:43:00,70,175,77,Married,0.52,3
4,06,2024-07-06 10:44:00,70,175,77,Married,0.61,3
5,73,2024-07-06 10:41:00,63,162,48,Married,1.31,3
5,712,2024-07-06 10:44:00,63,162,48,Married,0.62,3
5,715,2024-07-06 10:46:00,63,162,48,Married,1.28,3
5,714,2024-07-06 10:51:00,63,162,48,Married,0.18,3
5,710,2024-07-06 10:53:00,63,162,48,Married,0.87,3
5,712,2024-07-06 10:55:00,63,162,48,Married,0.52,3
5,324,2024-07-06 10:58:00,63,162,48,Married,1.21,3
6,323,2024-07-06 10:53:00,40,177,88,Married,0.54,2
6,316,2024-07-06 10:54:00,40,177,88,Married,0.28,2
6,322,2024-07-06 10:57:00,40,177,88,Married,0.28,2
6,313,2024-07-06 10:58:00,40,177,88,Married,0.2,2
6,318,2024-07-06 11:02:00,40,177,88,Married,0.55,2
6,28,2024-07-06 11:05:00,40,177,88,Married,1.09,2
6,27,2024-07-06 11:06:00,40,177,88,Married,1.28,2
6,411,2024-07-06 11:09:00,40,177,88,Married,1.02,2
6,417,2024-07-06 11:13:00,40,177,88,Married,0.72,2
7,08,2024-07-06 11:03:00,68,151,55,Married,1.11,3
7,08,2024-07-06 11:08:00,68,151,55,Married,1.01,3
7,08,2024-07-06 11:09:00,68,151,55,Married,0.91,3
7,04,2024-07-06 11:10:00,68,151,55,Married,0.29,3
7,712,2024-07-06 11:14:00,68,151,55,Married,0.88,3
7,70,2024-07-06 11:16:00,68,151,55,Married,1.26,3
7,117,2024-07-06 11:18:00,68,151,55,Married,1.24,3
7,05,2024-07-06 11:22:00,68,151,55,Married,1.14,3
8,712,2024-07-06 11:11:00,18,177,61,Married,0.86,1
8,410,2024-07-06 11:13:00,18,177,61,Married,0.28,1
8,45,2024-07-06 11:14:00,18,177,61,Married,0.58,1
8,40,2024-07-06 11:17:00,18,177,61,Married,0.87,1
8,43,2024-07-06 11:20:00,18,177,61,Married,0.86,1
8,54,2024-07-06 11:24:00,18,177,61,Married,1.08,1
8,57,2024-07-06 11:25:00,18,177,61,Married,1.41,1
8,51,2024-07-06 11:27:00,18,177,61,Married,0.19,1
8,515,2024-07-06 11:32:00,18,177,61,Married,0.59,1
8,511,2024-07-06 11:34:00,18,177,61,Married,0.76,1
8,513,2024-07-06 11:38:00,18,177,61,Married,1.5,1
8,713,2024-07-06 11:43:00,18,177,61,Married,1.27,1
8,76,2024-07-06 11:47:00,18,177,61,Married,0.9,1
