si_id,shelf_id,item_id,person_id,timestamp,date,time,holding_the_bag,picking_up_item,returning_item,putting_item_into_bag,taking_item_out_of_bag,putting_item_into_bag_in_the_2nd_time,holding_the_item_(s),looking_at_item_(s),is_buy,dow
416,4,16,1,2024-07-06 10:00:00,2024-07-06,10:00:00,True,True,False,False,False,True,True,True,True,Saturday
45,4,5,1,2024-07-06 10:02:00,2024-07-06,10:02:00,True,True,False,True,True,True,True,True,False,Saturday
44,4,4,1,2024-07-06 10:05:00,2024-07-06,10:05:00,True,True,True,True,True,False,True,True,False,Saturday
48,4,8,1,2024-07-06 10:06:00,2024-07-06,10:06:00,True,True,True,False,False,False,True,True,False,Saturday
46,4,6,1,2024-07-06 10:08:00,2024-07-06,10:08:00,True,True,False,False,False,True,True,True,True,Saturday
45,4,5,1,2024-07-06 10:12:00,2024-07-06,10:12:00,True,True,False,True,False,True,True,True,True,Saturday
711,7,11,2,2024-07-06 10:12:00,2024-07-06,10:12:00,True,True,False,False,False,False,True,True,False,Saturday
71,7,1,2,2024-07-06 10:16:00,2024-07-06,10:16:00,True,True,True,True,,True,True,True,False,Saturday
715,7,15,2,2024-07-06 10:17:00,2024-07-06,10:17:00,True,True,False,False,False,False,True,True,False,Saturday
711,7,11,2,2024-07-06 10:19:00,2024-07-06,10:19:00,True,True,True,True,,,True,True,False,Saturday
22,2,2,2,2024-07-06 10:22:00,2024-07-06,10:22:00,True,True,True,True,,False,True,True,False,Saturday
26,2,6,2,2024-07-06 10:27:00,2024-07-06,10:27:00,True,True,True,True,False,,True,True,False,Saturday
28,2,8,2,2024-07-06 10:29:00,2024-07-06,10:29:00,True,True,False,False,,,True,True,False,Saturday
21,2,1,2,2024-07-06 10:33:00,2024-07-06,10:33:00,True,True,False,True,False,True,True,True,True,Saturday
09,0,9,2,2024-07-06 10:37:00,2024-07-06,10:37:00,True,True,True,False,False,False,True,True,False,Saturday
010,0,10,2,2024-07-06 10:38:00,2024-07-06,10:38:00,True,True,True,False,True,False,True,True,False,Saturday
012,0,12,2,2024-07-06 10:41:00,2024-07-06,10:41:00,True,True,True,,True,True,True,True,False,Saturday
06,0,6,2,2024-07-06 10:45:00,2024-07-06,10:45:00,True,True,True,,,,True,True,False,Saturday
05,0,5,2,2024-07-06 10:46:00,2024-07-06,10:46:00,True,True,False,False,True,True,True,True,False,Saturday
19,1,9,3,2024-07-06 10:26:00,2024-07-06,10:26:00,True,True,True,,True,True,True,True,False,Saturday
117,1,17,3,2024-07-06 10:30:00,2024-07-06,10:30:00,True,True,False,True,True,False,True,True,False,Saturday
27,2,7,3,2024-07-06 10:31:00,2024-07-06,10:31:00,True,True,False,True,False,,True,True,True,Saturday
25,2,5,3,2024-07-06 10:36:00,2024-07-06,10:36:00,True,True,True,False,True,False,True,True,False,Saturday
